,Open,High,Low,Close,Volume,TradingDate
528,7267.0,7335.0,7200.0,7267.0,328510,2012-02-21
529,7335.0,7402.0,7267.0,7335.0,155470,2012-02-22
530,7267.0,7402.0,7267.0,7335.0,172180,2012-02-23
531,7469.0,7469.0,7335.0,7335.0,147980,2012-02-24
532,7267.0,7402.0,7267.0,7402.0,141080,2012-02-27
533,7267.0,7402.0,7267.0,7335.0,172050,2012-02-28
534,7335.0,7402.0,7267.0,7402.0,152530,2012-02-29
535,7402.0,7402.0,7335.0,7402.0,91140,2012-03-01
536,7402.0,7469.0,7335.0,7469.0,166410,2012-03-02
537,7536.0,7806.0,7536.0,7806.0,427300,2012-03-05
538,8075.0,8075.0,7536.0,7536.0,291610,2012-03-06
539,7536.0,7738.0,7469.0,7738.0,190770,2012-03-07
540,7671.0,7738.0,7469.0,7604.0,319980,2012-03-08
541,7536.0,7738.0,7536.0,7604.0,188640,2012-03-09
542,7536.0,7604.0,7536.0,7604.0,152560,2012-03-12
543,7604.0,7671.0,7604.0,7671.0,103290,2012-03-13
544,7671.0,7738.0,7604.0,7671.0,136140,2012-03-14
545,7671.0,7940.0,7671.0,7940.0,431230,2012-03-15
546,8007.0,8075.0,7940.0,7940.0,287960,2012-03-16
547,7806.0,7940.0,7738.0,7940.0,91380,2012-03-19
548,7940.0,7940.0,7873.0,7873.0,94310,2012-03-20
549,7873.0,7940.0,7806.0,7873.0,145260,2012-03-21
550,7873.0,7873.0,7738.0,7738.0,90050,2012-03-22
551,7806.0,7806.0,7738.0,7806.0,71320,2012-03-23
552,7806.0,7806.0,7738.0,7806.0,112360,2012-03-26
553,7671.0,7806.0,7671.0,7738.0,185140,2012-03-27
554,7604.0,7806.0,7604.0,7806.0,227840,2012-03-28
555,7806.0,7873.0,7738.0,7806.0,188180,2012-03-29
556,7873.0,7940.0,7738.0,7806.0,227480,2012-03-30
557,7806.0,7873.0,7806.0,7806.0,77770,2012-04-03
558,7873.0,7940.0,7806.0,7806.0,229600,2012-04-04
559,7873.0,8142.0,7806.0,8007.0,522960,2012-04-05
560,8075.0,8075.0,8007.0,8007.0,46820,2012-04-06
561,8142.0,8142.0,8007.0,8075.0,86600,2012-04-09
562,8142.0,8142.0,8007.0,8075.0,97870,2012-04-10
563,8142.0,8411.0,8075.0,8411.0,401940,2012-04-11
564,8478.0,8546.0,8411.0,8478.0,181420,2012-04-12
565,8478.0,8478.0,8209.0,8209.0,129430,2012-04-13
566,8344.0,8478.0,8277.0,8344.0,128380,2012-04-16
567,8478.0,8478.0,8277.0,8411.0,123760,2012-04-17
568,8478.0,8478.0,8344.0,8344.0,113720,2012-04-18
569,8344.0,8411.0,8007.0,8007.0,301330,2012-04-19
570,8075.0,8277.0,7940.0,7940.0,240320,2012-04-20
571,8007.0,8209.0,7873.0,7873.0,139090,2012-04-23
572,8007.0,8075.0,7940.0,8075.0,81550,2012-04-24
573,8277.0,8277.0,8075.0,8142.0,79440,2012-04-25
574,8277.0,8277.0,8007.0,8007.0,180500,2012-04-26
575,8075.0,8142.0,8007.0,8007.0,108790,2012-04-27
576,8344.0,8344.0,8277.0,8344.0,425310,2012-05-02
577,8748.0,8748.0,8613.0,8748.0,550510,2012-05-03
578,8748.0,8950.0,8748.0,8882.0,388650,2012-05-04
579,8950.0,9017.0,8815.0,9017.0,284350,2012-05-07
580,9017.0,9084.0,8882.0,8950.0,311770,2012-05-08
581,8882.0,8950.0,8815.0,8882.0,264470,2012-05-09
582,8950.0,8950.0,8815.0,8815.0,290000,2012-05-10
583,8950.0,8950.0,8680.0,8680.0,284390,2012-05-11
584,8748.0,8815.0,8613.0,8613.0,213220,2012-05-14
585,8886.0,8886.0,8442.0,8459.0,350530,2012-05-15
586,8528.0,8545.0,8425.0,8425.0,110580,2012-05-16
587,8459.0,8545.0,8459.0,8511.0,160230,2012-05-17
588,8511.0,8511.0,8203.0,8288.0,264100,2012-05-18
589,8545.0,8630.0,8374.0,8630.0,167520,2012-05-21
590,8716.0,8716.0,8493.0,8511.0,89520,2012-05-22
591,8459.0,8511.0,8288.0,8340.0,127830,2012-05-23
592,8340.0,8374.0,8305.0,8305.0,99980,2012-05-24
593,8476.0,8476.0,8374.0,8476.0,103830,2012-05-25
594,8459.0,8545.0,8459.0,8476.0,124200,2012-05-28
595,8459.0,8476.0,8408.0,8459.0,64910,2012-05-29
596,8545.0,8545.0,8425.0,8476.0,65430,2012-05-30
